sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
8632,19024874,221,-1281,-1548,1048,-223,-80
8633,19024884,236,-1280,-1534,1039,-226,-70
8634,19024894,213,-1301,-1543,1036,-225,-72
8635,19024904,198,-1298,-1539,1033,-233,-75
8636,19024914,237,-1271,-1529,1034,-229,-73
8637,19024924,235,-1280,-1526,1040,-222,-77
8638,19024934,206,-1283,-1543,1045,-217,-80
8639,19024944,226,-1270,-1548,1040,-225,-71
8640,19024954,244,-1286,-1556,1042,-227,-74
8641,19024964,221,-1306,-1544,1044,-224,-75
8642,19024974,212,-1288,-1530,1053,-220,-77
8643,19024984,229,-1286,-1532,1056,-218,-81
8644,19024994,235,-1290,-1539,1056,-223,-72
8645,19025004,208,-1297,-1546,1057,-219,-74
8646,19025014,215,-1308,-1525,1062,-212,-75
8647,19025024,254,-1279,-1536,1057,-215,-75
8648,19025034,231,-1285,-1534,1047,-226,-77
8649,19025044,220,-1286,-1532,1043,-224,-77
8650,19025054,238,-1283,-1539,1042,-214,-71
8651,19025064,240,-1275,-1543,1041,-222,-74
8652,19025074,200,-1282,-1554,1037,-228,-73
8653,19025084,220,-1282,-1538,1043,-223,-71
8654,19025094,236,-1301,-1541,1046,-220,-69
8655,19025104,226,-1293,-1535,1048,-221,-72
8656,19025114,200,-1293,-1526,1051,-217,-76
8657,19025124,239,-1277,-1530,1045,-218,-256
8658,19025121,240,-1278,-1530,1046,-218,-79
8659,19025131,223,-1293,-1549,1035,-227,-70
8660,19025141,207,-1284,-1555,1035,-227,-72
8661,19025151,225,-1291,-1531,1055,-215,-81
8662,19025161,239,-1281,-1530,1047,-216,-76
8663,19025171,216,-1285,-1544,1036,-233,-63
8664,19025181,195,-1302,-1520,1045,-222,-74
8665,19025191,248,-1296,-1522,1051,-212,-80
8666,19025201,228,-1272,-1532,1029,-225,-73
8667,19025211,207,-1290,-1553,1035,-231,-69
8668,19025221,214,-1284,-1552,1053,-197,-74
8669,19025231,240,-1268,-1535,1076,-193,-66
8670,19025241,218,-1291,-1528,1083,-198,-78
8671,19025251,226,-1313,-1510,1071,-196,-56
8672,19025261,229,-1287,-1536,1055,-217,-45
8673,19025271,253,-1267,-1491,1044,-231,-55
8674,19025281,257,-1242,-1429,1077,-210,-14
8675,19025291,314,-1225,-1431,1106,-325,123
8676,19025301,201,-1156,-1481,1062,-586,387
8677,19025311,252,-343,-1378,1250,-800,790
8678,19025321,432,-1630,-1761,1644,-999,631
8679,19025331,-82,-1311,-1904,581,-1198,1007
8680,19025341,71,-1294,-1605,1288,-556,138
8681,19025351,120,-1343,-1440,1587,-90,90
8682,19025361,97,-1353,-1457,1392,-68,38
8683,19025371,40,-1347,-1580,1247,-128,-256
8684,19025368,41,-1348,-1580,1247,-129,-8
8685,19025378,-12,-1328,-1688,1230,-20,-120
8686,19025388,45,-1361,-1661,1541,303,-275
8687,19025398,174,-1357,-1559,1861,622,-496
8688,19025408,255,-1377,-1369,1856,696,-608
8689,19025418,245,-1410,-1335,1641,506,-600
8690,19025428,251,-1372,-1381,1339,256,-562
8691,19025438,252,-1400,-1417,1232,147,-481
8692,19025448,231,-1464,-1428,1154,141,-452
8693,19025458,116,-800,-1562,1020,172,-440
8694,19025468,479,-1392,-1433,592,124,-693
8695,19025478,369,-1352,-1252,1643,478,-627
8696,19025488,299,-1343,-1411,1024,147,-376
8697,19025498,277,-1408,-1490,973,-36,-230
8698,19025508,323,-1350,-1472,1019,-63,-183
8699,19025518,324,-1363,-1410,1084,-29,-247
8700,19025528,331,-1349,-1391,1102,-55,-204
8701,19025538,345,-1352,-1419,1024,-157,-124
8702,19025548,314,-1375,-1440,969,-239,-68
8703,19025558,296,-1380,-1441,962,-251,-71
8704,19025568,329,-1363,-1433,973,-250,-86
8705,19025578,331,-1351,-1437,953,-290,-67
8706,19025588,309,-1352,-1426,940,-313,-38
8707,19025598,290,-1371,-1448,920,-352,7
8708,19025608,311,-1360,-1462,897,-386,41
8709,19025618,290,-1362,-1471,895,-388,0
8710,19025614,290,-1363,-1471,896,-389,13
8711,19025624,262,-1360,-1477,899,-375,-6
8712,19025634,273,-1361,-1502,916,-348,-14
8713,19025644,294,-1339,-1471,959,-304,-45
8714,19025654,282,-1333,-1467,972,-290,-63
8715,19025664,274,-1340,-1483,956,-306,-47
8716,19025674,294,-1343,-1471,947,-330,-26
8717,19025684,303,-1335,-1475,943,-333,-29
8718,19025694,260,-1341,-1483,944,-332,-34
8719,19025704,286,-1357,-1471,945,-329,-34
8720,19025714,291,-1336,-1482,936,-331,-34
8721,19025724,268,-1338,-1475,928,-340,-37
8722,19025734,246,-1342,-1511,912,-343,-34
8723,19025744,260,-1343,-1512,926,-321,-39
8724,19025754,271,-1326,-1508,971,-276,-68
8725,19025764,253,-1321,-1484,985,-264,-82
8726,19025774,260,-1318,-1492,988,-274,-70
8727,19025784,283,-1331,-1490,982,-288,-58
8728,19025794,243,-1342,-1485,979,-300,-48
8729,19025804,250,-1338,-1479,979,-308,-45
8730,19025814,291,-1337,-1479,976,-311,-47
8731,19025824,275,-1339,-1474,961,-314,-47
8732,19025834,249,-1340,-1497,938,-318,-36
8733,19025844,253,-1319,-1518,935,-316,-36
8734,19025854,277,-1317,-1516,972,-268,-67
8735,19025864,247,-1312,-1496,991,-236,-256
8736,19025861,247,-1313,-1496,992,-237,-81
8737,19025871,260,-1302,-1499,990,-245,-72
8738,19025881,265,-1305,-1517,979,-266,-58
8739,19025891,263,-1319,-1532,974,-275,-53
8740,19025901,208,-1310,-1517,983,-270,-51
8741,19025911,244,-1312,-1515,1014,-243,-66
8742,19025921,265,-1323,-1488,1030,-226,-75
8743,19025931,247,-1321,-1510,1027,-231,-71
8744,19025941,221,-1307,-1504,1020,-240,-65
8745,19025951,249,-1313,-1518,1025,-240,-63
8746,19025961,254,-1323,-1502,1038,-228,-68
8747,19025971,242,-1316,-1514,1049,-222,-72
8748,19025981,247,-1317,-1491,1053,-222,-73
8749,19025991,280,-1308,-1510,1046,-229,-68
8750,19026001,243,-1317,-1504,1033,-241,-64
8751,19026011,216,-1311,-1523,1029,-241,-65
8752,19026021,256,-1314,-1517,1039,-239,-62
8753,19026031,257,-1313,-1501,1064,-209,-78
8754,19026041,241,-1318,-1493,1073,-202,-85
8755,19026051,241,-1320,-1517,1054,-218,-80
8756,19026061,261,-1327,-1510,1049,-229,-63
8757,19026071,238,-1305,-1507,1050,-224,-80
8758,19026081,233,-1333,-1483,1055,-214,-82
8759,19026091,256,-1310,-1512,1041,-227,-73
8760,19026101,258,-1313,-1520,1040,-228,-79
8761,19026111,226,-1319,-1514,1052,-215,-256
8762,19026107,227,-1320,-1514,1053,-216,-80
8763,19026117,255,-1315,-1520,1058,-216,-77
8764,19026127,267,-1320,-1515,1055,-217,-79
8765,19026137,236,-1316,-1500,1061,-215,-77
8766,19026147,223,-1334,-1497,1055,-207,-77
8767,19026157,250,-1306,-1507,1044,-222,-69
8768,19026167,264,-1303,-1516,1040,-227,-69
8769,19026177,238,-1313,-1517,1058,-214,-77
8770,19026187,240,-1315,-1507,1060,-209,-78
8771,19026197,268,-1313,-1519,1056,-214,-71
8772,19026207,251,-1326,-1507,1057,-221,-74
8773,19026217,238,-1334,-1507,1058,-214,-79
8774,19026227,257,-1316,-1502,1049,-227,-71
8775,19026237,257,-1322,-1500,1061,-225,-72
8776,19026247,237,-1323,-1491,1066,-213,-76
8777,19026257,254,-1324,-1492,1055,-217,-69
8778,19026267,268,-1311,-1516,1046,-229,-68
8779,19026277,245,-1325,-1503,1066,-207,-78
8780,19026287,229,-1311,-1493,1065,-204,-81
8781,19026297,256,-1308,-1502,1046,-221,-69
8782,19026307,258,-1316,-1499,1043,-227,-66
8783,19026317,240,-1323,-1519,1049,-216,-75
8784,19026327,248,-1317,-1510,1044,-225,-71
8785,19026337,263,-1308,-1498,1049,-223,-70
8786,19026347,240,-1331,-1495,1051,-217,-74
8787,19026357,236,-1326,-1503,1047,-217,-256
8788,19026354,237,-1327,-1503,1048,-217,-71
8789,19026364,263,-1325,-1496,1045,-221,-69
8790,19026374,259,-1316,-1514,1039,-225,-74
8791,19026384,226,-1325,-1496,1036,-227,-70
8792,19026394,245,-1329,-1503,1038,-226,-73
8793,19026404,266,-1319,-1517,1032,-232,-75
8794,19026414,243,-1333,-1507,1035,-224,-66
8795,19026424,227,-1313,-1505,1035,-227,-71
8796,19026434,273,-1310,-1507,1032,-232,-75
8797,19026444,259,-1321,-1517,1034,-229,-71
8798,19026454,232,-1314,-1514,1039,-224,-71
8799,19026464,252,-1321,-1504,1045,-221,-77
8800,19026474,263,-1315,-1521,1042,-226,-74
8801,19026484,245,-1313,-1500,1046,-225,-72
8802,19026494,224,-1318,-1501,1041,-225,-73
8803,19026504,265,-1310,-1504,1033,-235,-70
8804,19026514,252,-1329,-1496,1034,-231,-66
8805,19026524,231,-1323,-1520,1039,-225,-72
8806,19026534,236,-1316,-1501,1041,-226,-73
8807,19026544,275,-1317,-1512,1039,-229,-71
8808,19026554,234,-1322,-1505,1041,-223,-73
8809,19026564,225,-1315,-1516,1043,-222,-68
8810,19026574,265,-1319,-1520,1043,-225,-71
8811,19026584,261,-1318,-1519,1043,-227,-74
