sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,18401249,-310,-1678,-1095,692,-52,-31
1,18401259,-275,-1679,-1080,702,-47,-34
2,18401269,-289,-1693,-1085,696,-53,-29
3,18401279,-332,-1688,-1097,692,-52,-33
4,18401289,-298,-1674,-1092,691,-51,-33
5,18401299,-291,-1683,-1086,697,-51,-34
6,18401309,-315,-1663,-1090,689,-54,-32
7,18401319,-310,-1671,-1084,694,-53,-30
8,18401329,-297,-1677,-1088,697,-53,-28
9,18401339,-307,-1685,-1091,700,-50,-34
10,18401349,-324,-1676,-1087,694,-51,-28
11,18401359,-302,-1690,-1085,689,-52,-27
12,18401369,-288,-1679,-1105,685,-54,-29
13,18401379,-305,-1677,-1089,694,-52,-32
14,18401389,-303,-1682,-1087,696,-52,-31
15,18401399,-299,-1668,-1088,693,-51,-32
16,18401409,-304,-1685,-1095,695,-52,-30
17,18401419,-304,-1669,-1098,703,-51,-37
18,18401429,-298,-1682,-1102,698,-52,-38
19,18401439,-293,-1676,-1094,697,-54,-32
20,18401449,-307,-1683,-1084,704,-50,-30
21,18401459,-301,-1685,-1090,705,-51,-33
22,18401469,-305,-1684,-1089,696,-52,-31
23,18401479,-302,-1672,-1087,700,-49,-33
24,18401489,-319,-1674,-1088,698,-53,-34
25,18401499,-297,-1678,-1097,701,-47,-256
26,18401495,-296,-1678,-1097,702,-47,-34
27,18401505,-289,-1673,-1094,694,-49,-28
28,18401515,-295,-1675,-1101,693,-50,-34
29,18401525,-302,-1668,-1091,691,-50,-26
30,18401535,-277,-1678,-1107,698,-52,-29
31,18401545,-291,-1678,-1092,705,-52,-36
32,18401555,-308,-1687,-1111,705,-54,-36
33,18401565,-291,-1678,-1087,704,-54,-35
34,18401575,-286,-1685,-1095,702,-58,-33
35,18401585,-315,-1680,-1086,699,-54,-28
36,18401595,-327,-1677,-1078,697,-51,-30
37,18401605,-292,-1678,-1097,697,-53,-34
38,18401615,-299,-1670,-1086,696,-52,-36
39,18401625,-308,-1678,-1083,700,-50,-39
40,18401635,-301,-1675,-1100,697,-51,-36
41,18401645,-290,-1664,-1087,695,-51,-33
42,18401655,-318,-1682,-1090,697,-50,-35
43,18401665,-298,-1690,-1095,694,-51,-34
44,18401675,-274,-1673,-1099,700,-47,-39
45,18401685,-293,-1683,-1091,699,-55,-34
46,18401695,-312,-1683,-1098,697,-55,-29
47,18401705,-298,-1676,-1084,694,-52,-29
48,18401715,-295,-1690,-1101,681,-58,-25
49,18401725,-326,-1674,-1104,675,-59,-29
50,18401735,-311,-1688,-1088,682,-60,-37
51,18401745,-296,-1673,-1086,682,-62,-256
52,18401742,-296,-1674,-1085,682,-63,-37
53,18401752,-302,-1668,-1085,684,-63,-38
54,18401762,-313,-1680,-1093,686,-63,-41
55,18401772,-295,-1678,-1098,677,-63,-40
56,18401782,-310,-1673,-1109,679,-67,-37
57,18401792,-337,-1677,-1105,685,-70,-42
58,18401802,-334,-1704,-1058,706,-63,-45
59,18401812,-297,-1680,-1061,709,-58,-53
60,18401822,-292,-1692,-1076,656,-65,-54
61,18401832,-295,-1712,-1076,659,-65,-44
62,18401842,-230,-1670,-1130,616,-50,-52
63,18401852,-282,-1644,-1134,606,-85,-34
64,18401862,-311,-1630,-1130,605,-69,-29
65,18401872,-325,-1689,-1097,690,-69,-29
