sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
5200,18992314,702,-1859,668,872,-285,-163
5201,18992324,673,-1856,659,868,-278,-170
5202,18992334,638,-1864,652,859,-285,-184
5203,18992344,658,-1875,664,877,-284,-198
5204,18992354,680,-1887,652,848,-316,-201
5205,18992364,655,-1892,629,812,-356,-218
5206,18992374,651,-1901,623,785,-382,-239
5207,18992384,694,-1867,608,767,-397,-259
5208,18992394,709,-1879,604,751,-405,-266
5209,18992404,678,-1926,612,722,-393,-257
5210,18992414,668,-1964,662,663,-366,-246
5211,18992424,706,-1980,694,610,-341,-272
5212,18992434,680,-2000,733,550,-355,-309
5213,18992444,653,-2017,749,495,-416,-335
5214,18992454,688,-2026,732,450,-487,-361
5215,18992464,689,-2016,718,418,-550,-404
5216,18992474,683,-1993,702,375,-609,-462
5217,18992484,723,-1937,673,289,-676,-518
5218,18992494,797,-1900,647,201,-749,-563
5219,18992504,799,-1877,618,129,-832,-570
5220,18992514,819,-1860,586,45,-923,-528
5221,18992524,843,-1807,544,-45,-988,-488
5222,18992534,883,-1860,555,13,-1012,-471
5223,18992544,824,-1909,489,-56,-1071,-389
5224,18992554,848,-1937,502,-88,-1125,-326
5225,18992564,897,-1892,470,-74,-1137,-512
5226,18992561,897,-1892,471,-74,-1137,-378
5227,18992571,862,-1763,435,-39,-1217,-302
5228,18992581,1069,-1881,895,729,-1302,-184
5229,18992591,1017,-1948,1027,689,-1389,95
5230,18992601,1115,-1956,1186,607,-1506,-1
5231,18992611,1064,-1852,1137,200,-1863,-9
5232,18992621,1014,-1762,1039,-322,-2357,140
5233,18992631,971,-1622,796,-854,-2942,355
5234,18992641,800,-1521,483,-1308,-3428,646
5235,18992651,621,-1397,130,-1532,-3634,846
5236,18992661,591,-1369,-121,-1423,-3404,718
5237,18992671,572,-1375,-192,-1202,-2932,463
5238,18992681,552,-1391,-181,-956,-2453,237
5239,18992691,530,-1429,-195,-850,-2165,118
5240,18992701,509,-1498,-298,-884,-2167,166
5241,18992711,432,-1507,-428,-939,-2462,272
5242,18992721,355,-1471,-637,-993,-2840,384
5243,18992731,362,-1407,-846,-944,-3181,439
5244,18992741,322,-1404,-1066,-771,-3360,505
5245,18992751,242,-1455,-1280,-627,-3325,572
5246,18992761,210,-1501,-1377,-443,-3069,576
5247,18992771,205,-1537,-1440,-199,-2612,462
5248,18992781,176,-1533,-1469,-15,-2186,301
5249,18992791,173,-1522,-1456,137,-1829,181
5250,18992801,191,-1586,-1399,269,-1607,275
5251,18992811,183,-1580,-1386,217,-1508,256
5252,18992807,184,-1580,-1386,218,-1508,430
5253,18992817,132,-1664,-1423,143,-1486,568
5254,18992827,115,-1706,-1402,47,-1428,653
5255,18992837,145,-1686,-1421,-157,-1345,654
5256,18992847,121,-1637,-1451,-375,-1309,641
5257,18992857,70,-1573,-1466,-462,-1247,643
5258,18992867,84,-1590,-1477,-364,-1082,591
5259,18992877,73,-1617,-1465,-185,-854,526
5260,18992887,45,-1608,-1446,3,-665,483
5261,18992897,46,-1650,-1370,209,-480,416
5262,18992907,91,-1683,-1306,431,-295,323
