sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
598,18310224,-1707,-299,-1207,906,281,-338
599,18310234,-1712,-296,-1230,924,189,-320
600,18310244,-1701,-268,-1262,922,169,-312
601,18310254,-1659,-271,-1294,925,162,-270
602,18310264,-1622,-277,-1293,945,146,-200
603,18310274,-1633,-276,-1301,952,170,-133
604,18310284,-1589,-290,-1291,973,172,-42
605,18310294,-1597,-323,-1272,1007,142,67
606,18310304,-1605,-332,-1238,1005,140,144
607,18310314,-1644,-365,-1237,1006,151,212
608,18310324,-1690,-418,-1234,1024,137,287
609,18310334,-1706,-397,-1239,952,134,300
610,18310344,-1781,-437,-1276,939,128,295
611,18310354,-1800,-426,-1312,907,151,278
612,18310364,-1835,-448,-1331,878,196,273
613,18310374,-1906,-471,-1402,854,232,286
614,18310384,-1949,-453,-1478,776,263,270
615,18310394,-2021,-461,-1525,761,272,252
616,18310404,-2049,-411,-1553,761,373,200
617,18310414,-2164,-402,-1577,787,513,175
618,18310424,-2245,-382,-1650,796,660,155
619,18310434,-2346,-354,-1745,776,787,102
620,18310444,-2455,-330,-1867,727,939,21
621,18310454,-2594,-337,-2087,691,1137,-47
622,18310464,-2697,-224,-2296,640,1366,-114
623,18310474,-2720,-227,-2377,706,1695,-256
624,18310470,-2719,-228,-2377,706,1695,-250
625,18310480,-2720,-116,-2452,753,2083,-362
626,18310490,-2723,-125,-2462,915,2692,-308
627,18310500,-2581,-140,-2392,1173,3541,-90
628,18310510,-2545,-275,-2234,1310,4488,247
629,18310520,-2380,-498,-1999,1228,5558,633
630,18310530,-2149,-547,-1765,814,6553,1080
631,18310540,-1897,-559,-1552,354,6986,1442
632,18310550,-1813,-535,-1545,59,7014,1699
633,18310560,-1707,-666,-1589,-182,7019,1977
634,18310570,-1598,-726,-1705,-573,7121,2352
635,18310580,-1489,-865,-1755,-1038,7465,2847
636,18310590,-1425,-990,-1657,-1487,8025,3481
637,18310600,-1205,-1008,-1572,-1830,8548,3964
638,18310610,-1003,-1151,-1446,-2009,8887,4258
639,18310620,-877,-1132,-1327,-2169,9051,4359
640,18310630,-560,-979,-1278,-2432,9255,4137
641,18310640,-152,-822,-1243,-2507,9195,3981
642,18310650,-134,-656,-1209,-2171,8604,4166
643,18310660,-62,-849,-1080,-1436,8003,4298
644,18310670,-32,-896,-973,-908,7538,4207
645,18310680,109,-979,-863,-488,7153,3873
646,18310690,192,-1047,-767,-198,6891,3571
647,18310700,346,-1068,-568,-153,6822,3335
648,18310710,604,-1193,-250,-114,6799,3098
649,18310720,860,-1280,-47,-195,6559,2561
650,18310717,860,-1281,-47,-194,6558,2695
651,18310727,1026,-1274,196,-381,6127,2264
652,18310737,1227,-1263,307,-434,5609,1740
653,18310747,1317,-1137,215,-472,4962,1189
654,18310757,1253,-800,88,-623,4598,859
655,18310767,1256,-844,281,-236,4766,789
656,18310777,1456,-979,473,176,4896,582
657,18310787,1526,-1014,685,88,4862,364
658,18310797,1652,-871,851,-236,4660,-13
659,18310807,1767,-782,986,-424,4272,-369
660,18310817,1851,-682,1047,-631,3694,-660
661,18310827,1796,-475,1029,-930,3158,-864
662,18310837,1770,-229,959,-1126,2764,-987
663,18310847,1762,-15,932,-1062,2621,-919
664,18310857,1780,9,963,-717,2576,-703
665,18310867,1832,-70,1130,-310,2579,-439
666,18310877,1927,-139,1273,-3,2392,-353
667,18310887,2052,-129,1318,56,1963,-410
668,18310897,2033,-100,1244,-36,1369,-463
669,18310907,1987,110,1047,-176,880,-453
670,18310917,1954,249,907,-160,619,-366
671,18310927,1953,189,883,138,565,-182
672,18310937,1955,120,891,322,500,-89
673,18310947,2018,133,874,242,404,-101
674,18310957,2052,129,875,160,238,-140
675,18310967,2072,87,903,151,51,-256
676,18310964,2072,87,904,152,51,-164
677,18310974,2139,107,868,155,-144,-268
678,18310984,2181,232,774,158,-309,-272
679,18310994,2145,144,718,369,-381,-120
680,18311004,2121,92,686,555,-400,25
681,18311014,2176,59,688,620,-423,65
682,18311024,2180,-32,677,730,-538,87
683,18311034,2126,-133,613,795,-709,132
684,18311044,2079,-148,510,747,-858,111
685,18311054,2092,-157,443,730,-908,83
686,18311064,2062,-196,369,756,-936,82
687,18311074,1952,-170,199,789,-985,71
688,18311084,1961,-175,138,801,-828,186
689,18311094,1963,-233,125,889,-693,230
690,18311104,1954,-299,121,911,-590,206
691,18311114,1927,-298,86,825,-595,126
692,18311124,1965,-296,64,749,-632,29
693,18311134,1919,-264,29,773,-672,3
694,18311144,1918,-283,41,798,-606,-11
695,18311154,1956,-257,33,791,-533,-77
696,18311164,1973,-213,34,755,-512,-135
697,18311174,1952,-203,31,773,-485,-155
698,18311184,1959,-168,33,773,-487,-183
699,18311194,2022,-123,27,810,-519,-246
700,18311204,2007,-75,14,905,-555,-221
701,18311214,2011,-93,12,994,-534,-256
702,18311210,2012,-94,12,995,-535,-142
703,18311220,2060,-102,5,972,-486,-77
704,18311230,2086,-106,-27,921,-505,-59
705,18311240,2063,-120,-29,899,-568,-82
706,18311250,2064,-106,-51,895,-634,-146
707,18311260,2090,-106,-65,889,-706,-236
708,18311270,2143,-95,-75,906,-817,-326
709,18311280,2116,-44,-127,1010,-977,-314
710,18311290,2066,-121,-141,1278,-1087,-167
711,18311300,2111,-168,-166,1406,-1030,-56
712,18311310,2073,-165,-226,1291,-999,-90
713,18311320,2054,-151,-274,1186,-916,-75
714,18311330,2099,-165,-274,1143,-756,-55
715,18311340,2115,-158,-259,1163,-639,-80
716,18311350,2135,-163,-246,1211,-606,-126
717,18311360,2124,-131,-266,1303,-659,-168
718,18311370,2101,-104,-234,1441,-737,-207
719,18311380,2083,-165,-214,1575,-768,-264
720,18311390,2028,-169,-246,1515,-791,-302
721,18311400,1996,-136,-305,1241,-778,-323
722,18311410,1982,-60,-368,848,-627,-357
723,18311420,1989,56,-381,530,-449,-396
724,18311430,2041,52,-328,509,-260,-359
725,18311440,2096,-82,-252,586,-199,-305
726,18311450,2045,-162,-220,533,-261,-384
727,18311460,2060,-23,-210,328,-376,-768
728,18311457,2060,-24,-210,329,-376,-663
729,18311467,2099,138,-191,298,-452,-840
730,18311477,2029,482,-402,478,-529,-739
731,18311487,1753,383,-238,856,-376,-404
732,18311497,2049,55,-221,1342,46,-116
733,18311507,1863,61,-258,1188,44,-136
734,18311517,2055,137,-270,1320,364,-203
735,18311527,2041,29,-203,1471,225,-183
736,18311537,2054,-22,-168,1566,70,-139
737,18311547,1997,-27,-195,1480,-40,-98
738,18311557,2009,-18,-200,1393,-28,-89
739,18311567,2026,24,-174,1350,-71,-98
740,18311577,1967,-13,-170,1385,-169,-87
741,18311587,2002,31,-171,1371,-152,-71
742,18311597,1991,64,-187,1348,-171,-66
743,18311607,2092,233,-144,1408,-188,-27
744,18311617,2063,-85,-171,1410,-273,17
745,18311627,2034,-40,-189,1285,-297,26
746,18311637,2038,-51,-205,1214,-361,22
747,18311647,2063,-37,-172,1132,-406,-1
748,18311657,2025,-68,-210,1096,-430,22
749,18311667,2019,-15,-219,1118,-450,52
