sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
13988,19075689,-7337,-6263,6246,-5962,-6688,6855
13989,19075699,-6483,-4898,6557,3888,-10740,1873
13990,19075709,-5758,-2616,4602,3670,-13324,-2691
13991,19075719,-5718,-705,2342,1576,-14552,-3961
13992,19075729,-5628,87,330,-136,-16050,-3247
13993,19075739,-5899,140,-819,-255,-17063,-2765
13994,19075749,-5674,233,-1586,912,-16887,-2353
13995,19075759,-5701,-436,-2319,2716,-16011,-1856
13996,19075769,-6678,-3780,-4386,3147,-14915,-1369
13997,19075779,-6722,-4279,-7525,-735,-14251,-291
13998,19075789,-7231,-4285,-9813,-2781,-13389,-768
13999,19075799,-6593,-2696,-9666,-2925,-8648,-4018
14000,19075809,-5086,-531,-7435,-1406,1499,-7214
14001,19075819,-3702,1039,-4377,1247,10068,-8172
14002,19075829,-2831,2270,-2501,2668,13483,-8170
14003,19075839,-2716,2185,-1322,3064,13766,-6383
14004,19075849,-3652,1772,463,3056,13520,-3547
14005,19075859,-4819,1546,3055,1917,15017,-1516
14006,19075869,-6450,2191,7300,122,18722,821
14007,19075879,-5946,1031,13698,-927,23557,2494
14008,19075889,-3381,-857,13557,-4168,25509,1869
14009,19075899,-4211,-2607,10846,-11714,18628,3738
14010,19075909,-5266,-3982,7123,-13280,8262,5980
14011,19075919,-6271,-5264,4515,-12794,665,5972
14012,19075929,-6152,-7164,6195,-1602,-5874,5229
14013,19075939,-5789,-4423,5456,3689,-9232,-768
14014,19075936,-5789,-4423,5456,3689,-9232,-574
14015,19075946,-5217,-2174,3928,3491,-11674,-4442
14016,19075956,-4964,-733,2467,2435,-13281,-5513
14017,19075966,-4765,-89,786,1302,-14822,-4993
14018,19075976,-4691,81,-247,1242,-16003,-4298
14019,19075986,-4611,266,-1006,2030,-16275,-3550
14020,19075996,-4793,-682,-1530,3210,-15725,-2778
14021,19076006,-5089,-2574,-3099,3560,-14405,-2258
14022,19076016,-4946,-3003,-6298,-139,-12715,-1870
14023,19076026,-4876,-3848,-8670,-1415,-11009,-1937
14024,19076036,-4480,-3087,-9749,-1300,-7496,-3182
14025,19076046,-3636,-1713,-8300,419,-728,-5057
14026,19076056,-2646,8,-5463,1228,5895,-6449
14027,19076066,-1926,1279,-3565,1394,9950,-6466
14028,19076076,-1800,1382,-2067,1267,11706,-4885
14029,19076086,-2538,859,-564,1188,12703,-2313
14030,19076096,-3856,473,1494,-76,14133,195
14031,19076106,-5519,229,3967,-1929,16841,2442
14032,19076116,-6450,-180,7450,-3746,20092,4455
14033,19076126,-5578,-1460,11186,-4564,21962,4752
14034,19076136,-4083,-2542,10837,-6648,20045,2744
14035,19076146,-4624,-3602,8421,-10714,12961,2540
14036,19076156,-4728,-4439,4791,-11216,3956,3159
14037,19076166,-7115,-6270,5275,-4738,-5326,5397
14038,19076176,-6251,-5201,6147,3807,-10342,1433
14039,19076186,-5729,-2877,4450,3856,-13414,-2817
14040,19076182,-5728,-2877,4450,3856,-13414,-2662
14041,19076192,-5494,-1174,2719,2137,-14906,-3921
14042,19076202,-5222,-718,1238,882,-16324,-3269
14043,19076212,-4902,-622,134,637,-16706,-2959
14044,19076222,-4407,-927,-186,1545,-15857,-2730
14045,19076232,-3971,-1445,-474,2465,-14035,-2072
14046,19076242,-3721,-2460,-776,2614,-11908,-1326
14047,19076252,-3222,-3315,-1137,1871,-10191,-609
14048,19076262,-2500,-3282,-1491,-215,-8758,-504
14049,19076272,-1822,-2640,-1835,-2425,-7087,-798
14050,19076282,-1126,-2099,-1732,-3727,-4949,-1378
14051,19076292,-582,-1790,-1341,-3641,-2667,-1689
14052,19076302,-281,-1772,-921,-3001,-599,-1681
14053,19076312,-64,-1668,-631,-2517,866,-1602
14054,19076322,61,-1531,-497,-2475,1730,-1667
14055,19076332,208,-1366,-465,-2587,2298,-1584
14056,19076342,382,-1175,-327,-2531,3007,-1436
14057,19076352,497,-1105,-54,-2296,3882,-1243
14058,19076362,570,-1044,41,-2052,4778,-1034
14059,19076372,484,-1046,209,-1646,5768,-901
14060,19076382,448,-1184,635,-1049,6825,-1007
14061,19076392,406,-1225,959,-1115,7418,-1269
14062,19076402,454,-1196,1223,-1755,7517,-1485
14063,19076412,412,-1212,1343,-2537,7320,-1616
14064,19076422,251,-1347,1277,-3293,7029,-1604
14065,19076432,136,-1372,1145,-3606,6786,-1793
14066,19076429,136,-1373,1145,-3605,6786,-1555
14067,19076439,111,-1465,1108,-3463,6462,-1766
14068,19076449,30,-1554,1057,-3085,6207,-2305
14069,19076459,58,-1615,1109,-2636,5913,-3013
14070,19076469,348,-1470,1040,-2521,5122,-3620
14071,19076479,503,-1349,866,-2495,3739,-3885
14072,19076489,493,-1273,474,-2525,2272,-3603
14073,19076499,406,-1128,15,-2554,1134,-3138
14074,19076509,436,-1183,-325,-2343,726,-2857
14075,19076519,454,-1288,-441,-2094,751,-2654
14076,19076529,464,-1329,-472,-1919,703,-2378
14077,19076539,563,-1266,-533,-1727,524,-2112
14078,19076549,613,-1281,-622,-1444,284,-1804
14079,19076559,568,-1318,-733,-1122,-12,-1476
14080,19076569,551,-1416,-797,-788,-268,-1239
14081,19076579,622,-1381,-815,-572,-451,-1125
14082,19076589,641,-1295,-927,-598,-657,-1101
14083,19076599,627,-1111,-1165,-868,-842,-1135
14084,19076609,647,-980,-1262,-841,-808,-1155
14085,19076619,615,-903,-1260,-627,-613,-1135
14086,19076629,538,-922,-1136,-337,-317,-1128
14087,19076639,413,-1045,-1012,-188,-164,-1055
14088,19076649,385,-1212,-1064,-247,-275,-770
14089,19076659,314,-1364,-1250,-385,-676,-311
14090,19076669,215,-1523,-1465,-375,-1186,213
14091,19076679,71,-1651,-1696,38,-1574,512
14092,19076676,71,-1652,-1696,38,-1574,657
14093,19076686,131,-1712,-1743,488,-1506,627
14094,19076696,93,-1745,-1647,809,-1199,306
14095,19076706,137,-1657,-1503,893,-856,16
14096,19076716,233,-1512,-1442,695,-662,-247
14097,19076726,218,-1385,-1441,520,-670,-212
14098,19076736,201,-1382,-1451,528,-660,-140
14099,19076746,251,-1365,-1440,550,-524,-150
14100,19076756,320,-1368,-1364,555,-405,-155
14101,19076766,277,-1416,-1320,629,-481,-26
14102,19076776,284,-1396,-1302,756,-591,125
14103,19076786,313,-1284,-1240,771,-656,268
14104,19076796,305,-1240,-1047,910,-610,496
14105,19076806,354,-952,-856,690,-592,608
14106,19076816,209,-399,-736,344,-984,1311
14107,19076826,297,220,-398,696,-1359,2557
14108,19076836,-1189,-7243,-2297,1625,-1590,3700
14109,19076846,-2194,-1446,-3630,-6943,-2754,3148
14110,19076856,837,-963,-2700,-541,-645,-2511
14111,19076866,932,-1484,-1290,2247,877,-1515
14112,19076876,139,-1953,-1734,1972,-171,1184
14113,19076886,149,-1783,-2051,1638,-778,1148
14114,19076896,331,-1560,-1864,1782,-329,297
14115,19076906,-395,-3111,-2381,1945,-130,473
14116,19076916,-185,-2474,-1962,1046,-88,868
14117,19076926,-367,-2051,-2106,2280,422,512
14118,19076922,-366,-2052,-2106,2280,422,513
14119,19076932,-356,-1961,-2375,1063,308,-180
14120,19076942,-315,-1596,-2359,1669,514,-913
14121,19076952,-259,-1459,-2294,2262,649,-955
14122,19076962,-236,-1342,-2297,2524,706,-978
14123,19076972,-264,-1332,-2335,2983,714,-1025
14124,19076982,-256,-1358,-2285,3676,734,-1178
14125,19076992,-128,-1226,-2274,4180,871,-1475
14126,19077002,-93,-1094,-2236,4693,1012,-1662
14127,19077012,59,-985,-2093,5182,1260,-1830
14128,19077022,139,-910,-2007,5388,1313,-1702
14129,19077032,260,-844,-1927,5461,1305,-1481
14130,19077042,287,-822,-1998,5514,1337,-1256
14131,19077052,214,-944,-1973,5932,1279,-987
14132,19077062,301,-882,-1904,6401,1571,-1094
14133,19077072,371,-769,-1778,6258,1812,-1444
14134,19077082,404,-593,-1767,5952,2147,-1636
14135,19077092,436,-534,-1660,5709,2656,-1657
14136,19077102,467,-525,-1510,5408,3342,-1708
14137,19077112,497,-476,-1322,4822,4077,-1730
14138,19077122,394,-433,-1171,4127,4605,-1563
14139,19077132,327,-507,-1015,3453,5114,-1349
14140,19077142,75,-310,-1008,2417,5639,-1142
14141,19077152,-301,-243,-739,1730,6298,-927
14142,19077162,-658,-172,91,1023,7143,-581
14143,19077172,-1051,-235,1235,-422,8099,-256
14144,19077169,-1050,-235,1235,-422,8098,-136
14145,19077179,-1252,-388,2693,-2298,8778,470
14146,19077189,-1311,-402,3744,-4739,9149,917
14147,19077199,-1480,-597,4625,-7226,8721,1693
14148,19077209,-1979,-1179,4975,-9124,7445,2835
14149,19077219,-3299,-2397,5357,-8540,4987,4288
14150,19077229,-4183,-2860,5383,-7727,1531,5332
14151,19077239,-4701,-3650,5346,-5673,-2136,5850
14152,19077249,-5306,-4309,5724,-2184,-6577,6823
14153,19077259,-5755,-4592,6131,1436,-10976,7070
14154,19077269,-5595,-4074,5860,3722,-14209,6060
14155,19077279,-5464,-3408,5140,4698,-16585,5068
14156,19077289,-5580,-2795,4069,4391,-18220,4476
14157,19077299,-5832,-2342,3091,3440,-18936,3970
14158,19077309,-6122,-2015,2192,2325,-18634,3516
14159,19077319,-6224,-1798,1484,1365,-17583,3006
14160,19077329,-6055,-1504,569,544,-16314,2437
14161,19077339,-5976,-1271,-535,-90,-15666,2118
14162,19077349,-6287,-1760,-2203,-241,-15619,2224
