sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
20592,19138343,-2036,-43,-96,1369,-159,-177
20593,19138353,-2061,-7,-96,1377,-185,-207
20594,19138363,-2062,28,-91,1386,-208,-226
20595,19138373,-2107,23,-87,1401,-237,-238
20596,19138383,-2114,44,-72,1415,-275,-254
20597,19138393,-2096,52,-59,1400,-315,-266
20598,19138403,-2113,51,-67,1379,-349,-274
20599,19138413,-2139,48,-81,1345,-374,-284
20600,19138423,-2140,76,-97,1316,-397,-294
20601,19138433,-2107,103,-117,1288,-397,-312
20602,19138443,-2121,122,-118,1288,-396,-316
20603,19138453,-2117,132,-150,1291,-389,-316
20604,19138463,-2110,141,-138,1289,-381,-311
20605,19138473,-2109,143,-146,1295,-364,-313
20606,19138483,-2136,151,-109,1301,-339,-317
20607,19138493,-2092,148,-91,1328,-310,-314
20608,19138503,-2061,157,-61,1342,-294,-310
20609,19138513,-2072,154,-52,1339,-307,-299
20610,19138523,-2060,149,-27,1371,-318,-287
20611,19138533,-2020,139,-17,1388,-331,-280
20612,19138543,-2017,140,11,1424,-341,-275
20613,19138553,-2033,159,0,1450,-361,-279
20614,19138563,-2015,172,8,1457,-374,-281
20615,19138573,-1989,182,21,1474,-383,-272
20616,19138583,-2018,208,44,1472,-397,-259
20617,19138593,-2005,232,41,1436,-416,-256
20618,19138590,-2005,232,42,1436,-417,-236
20619,19138600,-1970,247,40,1418,-431,-207
20620,19138610,-1975,238,47,1403,-437,-173
20621,19138620,-1966,231,42,1362,-439,-137
20622,19138630,-1945,228,32,1304,-445,-106
20623,19138640,-1948,222,1,1262,-452,-69
20624,19138650,-1971,220,-43,1221,-442,-35
20625,19138660,-1987,226,-69,1196,-413,-12
20626,19138670,-1969,233,-64,1187,-373,13
20627,19138680,-1969,190,-63,1171,-334,52
20628,19138690,-1991,172,-84,1159,-307,76
20629,19138700,-1973,165,-93,1158,-292,90
20630,19138710,-1955,161,-89,1194,-276,109
20631,19138720,-1989,148,-79,1248,-255,122
20632,19138730,-2027,148,-77,1314,-243,131
20633,19138740,-2030,164,-48,1398,-239,137
20634,19138750,-2074,175,-13,1456,-229,141
20635,19138760,-2094,154,15,1505,-208,144
