sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,29717822,499,1018,1668,-10,-1139,623
1,29717832,353,962,1267,673,-965,-22
2,29717842,157,700,899,1560,-294,-931
3,29717852,240,1166,211,2520,706,-1475
4,29717862,-355,-728,1085,3937,2001,-1998
5,29717872,-617,1180,2560,-2131,3466,-3417
6,29717882,-178,1535,2717,-2313,3157,-2087
7,29717892,637,1309,2564,-2229,2563,-443
8,29717902,401,1184,2497,-755,1227,-265
9,29717912,232,989,2156,372,-147,-186
10,29717922,36,908,1850,1145,-788,-161
11,29717932,-9,941,1850,1325,-829,-121
12,29717942,48,977,1903,1243,-810,14
13,29717952,83,949,1901,1254,-917,156
14,29717962,104,970,1893,1242,-1058,298
15,29717972,112,946,1782,1226,-1204,493
16,29717982,128,878,1693,1147,-1245,662
17,29717992,166,913,1660,987,-1141,691
18,29718002,167,952,1689,773,-932,613
19,29718012,211,981,1701,620,-690,530
20,29718022,287,1149,1814,490,-486,413
21,29718032,109,1314,1683,129,-245,65
22,29718042,379,897,1745,425,-313,763
23,29718052,252,883,1595,612,-213,289
24,29718062,262,913,1590,367,20,28
25,29718072,238,880,1641,253,286,0
26,29718069,238,879,1642,253,286,12
27,29718079,251,918,1706,-2,577,-30
28,29718089,265,927,1774,-191,755,-28
29,29718099,272,931,1869,-266,821,-17
30,29718109,245,933,1906,-264,788,-13
31,29718119,271,948,1952,-189,697,-20
32,29718129,275,988,1995,-56,505,-37
33,29718139,245,975,1994,184,249,-60
34,29718149,190,958,1952,421,-19,-61
35,29718159,186,925,1873,612,-204,-57
36,29718169,153,904,1828,685,-268,-52
37,29718179,140,894,1835,681,-261,-49
38,29718189,153,914,1838,663,-220,-58
39,29718199,161,920,1851,658,-211,-66
40,29718209,172,938,1855,664,-203,-73
41,29718219,157,956,1883,678,-229,-73
42,29718229,156,936,1864,738,-303,-49
43,29718239,175,907,1829,793,-324,-31
44,29718249,165,918,1788,786,-290,-58
45,29718259,159,952,1787,747,-226,-103
46,29718269,169,953,1821,697,-179,-106
47,29718279,168,938,1812,667,-144,-86
48,29718289,164,930,1818,629,-109,-80
49,29718299,189,960,1834,593,-64,-87
50,29718309,182,982,1843,576,-63,-89
51,29718319,174,968,1831,607,-130,-256
52,29718316,175,968,1831,608,-131,-100
53,29718326,187,996,1891,625,-173,-90
54,29718336,179,998,1866,684,-277,-43
55,29718346,156,964,1810,757,-352,-23
56,29718356,149,966,1779,749,-335,-30
57,29718366,186,992,1780,702,-289,-37
58,29718376,172,975,1797,676,-253,-39
59,29718386,153,995,1776,637,-213,-42
60,29718396,180,1001,1784,599,-171,-50
61,29718406,179,997,1785,572,-165,-45
62,29718416,176,999,1792,547,-147,-36
63,29718426,164,973,1794,519,-117,-38
64,29718436,173,983,1787,510,-92,-43
65,29718446,177,976,1817,479,-60,-48
66,29718456,191,1018,1848,462,-40,-56
67,29718466,164,995,1841,504,-117,-37
68,29718476,181,994,1808,566,-180,-26
69,29718486,164,995,1790,572,-198,-25
70,29718496,161,986,1787,552,-184,-24
71,29718506,179,1001,1805,526,-181,-24
72,29718516,168,992,1814,521,-190,-22
73,29718526,154,983,1802,519,-198,-11
74,29718536,167,993,1792,510,-184,-16
75,29718546,171,992,1781,485,-158,-27
76,29718556,154,988,1787,460,-134,-36
77,29718566,151,982,1797,439,-112,-256
78,29718562,151,982,1797,439,-113,-39
79,29718572,182,998,1804,424,-101,-39
80,29718582,179,1004,1812,415,-94,-35
81,29718592,158,982,1831,423,-108,-29
82,29718602,161,978,1812,439,-122,-29
83,29718612,167,976,1820,454,-130,-32
84,29718622,157,993,1821,462,-140,-35
85,29718632,154,986,1820,467,-145,-33
86,29718642,166,987,1825,475,-149,-33
87,29718652,171,986,1821,483,-163,-35
88,29718662,138,977,1815,493,-163,-39
89,29718672,157,989,1815,491,-162,-43
90,29718682,175,1000,1843,495,-170,-43
91,29718692,150,991,1833,522,-203,-40
92,29718702,147,981,1809,544,-221,-39
93,29718712,165,979,1799,540,-224,-34
94,29718722,156,987,1821,529,-215,-41
95,29718732,148,979,1825,524,-210,-44
96,29718742,156,977,1814,536,-218,-38
97,29718752,178,993,1813,540,-222,-36
98,29718762,148,980,1801,528,-206,-46
99,29718772,142,982,1796,517,-179,-52
100,29718782,163,997,1797,500,-163,-51
101,29718792,165,1002,1816,487,-147,-55
102,29718802,145,979,1816,484,-151,-48
103,29718812,163,984,1812,500,-175,-256
104,29718809,163,984,1813,501,-175,-36
105,29718819,177,978,1806,502,-181,-36
106,29718829,155,984,1788,493,-174,-37
107,29718839,138,985,1822,487,-171,-38
108,29718849,163,999,1819,483,-172,-34
109,29718859,161,985,1819,489,-173,-34
110,29718869,153,981,1831,502,-174,-36
111,29718879,147,984,1809,497,-166,-43
112,29718889,183,987,1810,499,-160,-46
113,29718899,154,1003,1818,500,-169,-44
114,29718909,154,990,1804,513,-183,-38
115,29718919,170,987,1810,509,-186,-34
116,29718929,164,977,1804,500,-181,-35
117,29718939,155,975,1822,489,-178,-36
118,29718949,167,989,1830,499,-190,-36
119,29718959,166,973,1826,512,-205,-31
120,29718969,149,975,1806,514,-200,-31
121,29718979,146,969,1799,501,-182,-39
122,29718989,162,991,1831,497,-173,-47
123,29718999,168,985,1807,504,-178,-41
124,29719009,163,985,1804,507,-183,-34
125,29719019,158,988,1801,504,-180,-36
126,29719029,176,995,1811,498,-184,-31
127,29719039,144,972,1808,494,-181,-32
128,29719049,145,977,1822,483,-170,-30
129,29719059,167,976,1807,472,-157,-256
130,29719056,167,976,1808,473,-158,-35
131,29719066,165,991,1831,476,-158,-38
132,29719076,141,981,1821,486,-171,-36
133,29719086,155,998,1822,497,-177,-35
134,29719096,160,983,1811,497,-182,-34
135,29719106,148,995,1825,497,-181,-34
136,29719116,140,984,1816,500,-186,-31
137,29719126,151,971,1813,499,-185,-28
138,29719136,160,970,1817,501,-185,-26
139,29719146,152,971,1814,491,-174,-34
140,29719156,156,986,1819,494,-180,-36
141,29719166,159,985,1805,498,-184,-35
142,29719176,158,980,1811,487,-170,-34
143,29719186,151,977,1821,481,-165,-42
144,29719196,159,977,1822,488,-170,-41
145,29719206,168,981,1810,493,-172,-38
146,29719216,144,984,1816,490,-172,-40
147,29719226,154,973,1826,493,-172,-42
148,29719236,168,986,1824,495,-178,-35
149,29719246,157,984,1818,495,-180,-40
150,29719256,157,975,1805,497,-177,-38
151,29719266,176,991,1835,488,-172,-41
152,29719276,159,978,1809,504,-186,-46
153,29719286,144,988,1808,499,-184,-40
154,29719296,151,987,1815,484,-165,-36
155,29719306,161,999,1830,475,-155,-256
156,29719303,161,999,1831,476,-156,-44
157,29719313,151,991,1819,484,-175,-39
158,29719323,143,976,1809,499,-185,-31
159,29719333,166,979,1797,491,-172,-36
160,29719343,154,979,1824,480,-159,-44
161,29719353,161,987,1821,480,-155,-42
162,29719363,158,990,1827,494,-167,-40
163,29719373,157,991,1801,505,-177,-43
164,29719383,163,979,1817,498,-172,-42
165,29719393,153,978,1811,499,-184,-34
166,29719403,156,980,1820,503,-187,-31
167,29719413,159,986,1812,504,-189,-31
168,29719423,137,996,1825,504,-188,-37
169,29719433,139,983,1815,506,-189,-37
170,29719443,167,976,1823,505,-184,-33
171,29719453,145,980,1824,511,-187,-36
172,29719463,152,991,1809,514,-191,-38
173,29719473,169,971,1800,505,-178,-39
174,29719483,146,978,1819,494,-170,-37
175,29719493,148,985,1827,492,-164,-45
176,29719503,152,994,1823,494,-174,-38
177,29719513,164,976,1819,497,-179,-33
178,29719523,154,974,1819,488,-173,-33
179,29719533,146,981,1839,486,-180,-29
180,29719543,163,966,1816,495,-188,-29
181,29719553,164,966,1825,497,-183,-256
182,29719549,165,966,1826,497,-183,-30
183,29719559,150,971,1816,498,-186,-29
184,29719569,149,981,1807,508,-189,-36
185,29719579,168,979,1803,505,-180,-38
186,29719589,165,981,1827,506,-179,-37
187,29719599,133,986,1819,508,-183,-45
188,29719609,149,986,1818,511,-189,-42
189,29719619,163,979,1805,515,-193,-34
190,29719629,156,986,1810,506,-185,-37
191,29719639,157,989,1819,496,-180,-40
192,29719649,162,984,1821,507,-189,-37
193,29719659,147,964,1822,507,-188,-32
194,29719669,150,981,1822,503,-181,-41
195,29719679,158,980,1819,507,-183,-44
196,29719689,165,988,1819,496,-177,-42
197,29719699,151,983,1824,500,-176,-42
198,29719709,142,1008,1811,500,-183,-39
199,29719719,156,981,1804,510,-189,-36
200,29719729,146,989,1809,494,-179,-32
201,29719739,155,978,1830,486,-169,-35
202,29719749,162,988,1839,487,-173,-28
203,29719759,162,983,1808,496,-185,-28
204,29719769,154,975,1817,503,-183,-32
205,29719779,153,978,1811,497,-175,-35
206,29719789,173,984,1806,495,-173,-36
207,29719799,166,997,1823,489,-168,-256
208,29719796,166,997,1823,489,-168,-40
209,29719806,148,988,1833,500,-188,-34
210,29719816,150,982,1805,518,-209,-23
211,29719826,155,970,1813,510,-201,-26
212,29719836,147,976,1816,491,-176,-29
213,29719846,157,988,1824,491,-174,-33
214,29719856,162,972,1813,499,-181,-38
215,29719866,154,970,1813,499,-178,-34
216,29719876,149,979,1821,495,-174,-34
217,29719886,164,986,1811,498,-178,-38
218,29719896,163,987,1805,492,-178,-37
219,29719906,145,964,1805,491,-171,-32
220,29719916,157,985,1826,487,-172,-34
221,29719926,157,999,1819,488,-178,-37
222,29719936,146,972,1822,502,-184,-35
223,29719946,155,967,1815,509,-195,-28
224,29719956,160,986,1827,504,-184,-37
225,29719966,168,988,1816,504,-185,-36
226,29719976,149,984,1805,506,-184,-33
227,29719986,166,972,1817,498,-178,-35
228,29719996,163,996,1817,504,-182,-38
229,29720006,159,986,1810,507,-184,-34
230,29720016,161,987,1818,499,-180,-34
231,29720026,155,991,1814,504,-194,-38
232,29720036,153,980,1822,505,-189,-34
233,29720046,148,969,1802,501,-183,-256
234,29720043,148,969,1803,501,-184,-32
235,29720053,151,982,1804,501,-180,-38
236,29720063,179,989,1815,496,-178,-38
237,29720073,152,985,1815,498,-175,-38
238,29720083,153,980,1825,497,-179,-35
239,29720093,165,991,1812,503,-187,-35
240,29720103,161,985,1805,509,-194,-37
241,29720113,166,980,1805,500,-189,-32
242,29720123,155,970,1809,500,-187,-36
243,29720133,172,995,1807,492,-182,-36
244,29720143,153,980,1816,495,-176,-38
245,29720153,161,978,1826,489,-171,-37
246,29720163,162,978,1813,495,-176,-35
247,29720173,151,991,1803,493,-179,-38
248,29720183,151,984,1812,494,-176,-38
249,29720193,154,985,1819,494,-181,-32
250,29720203,162,980,1823,492,-179,-32
251,29720213,158,982,1821,484,-179,-35
252,29720223,152,980,1804,486,-176,-34
253,29720233,162,976,1827,488,-176,-28
254,29720243,152,995,1823,492,-176,-36
255,29720253,146,966,1815,495,-180,-36
256,29720263,156,979,1824,491,-173,-31
257,29720273,163,987,1813,489,-174,-34
258,29720283,142,971,1809,502,-181,-45
259,29720293,150,981,1821,493,-188,-256
260,29720289,151,981,1821,494,-189,-32
261,29720299,159,983,1828,495,-185,-31
262,29720309,157,974,1812,498,-188,-32
263,29720319,142,984,1817,497,-183,-39
264,29720329,147,984,1818,490,-175,-43
265,29720339,177,993,1835,489,-172,-40
266,29720349,170,980,1812,517,-203,-29
267,29720359,168,969,1804,500,-188,-36
268,29720369,178,979,1821,493,-173,-38
269,29720379,157,982,1812,488,-175,-48
270,29720389,151,966,1814,498,-181,-43
271,29720399,157,971,1816,489,-174,-39
272,29720409,164,993,1831,490,-171,-47
273,29720419,155,983,1827,498,-183,-42
274,29720429,147,988,1812,504,-192,-36
275,29720439,155,983,1806,507,-193,-31
276,29720449,160,976,1820,496,-185,-32
277,29720459,155,974,1819,488,-176,-31
278,29720469,167,987,1821,489,-179,-38
279,29720479,173,976,1819,495,-181,-37
280,29720489,165,968,1815,492,-175,-37
