sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
702,18028261,317,-98,-1967,832,-74,-32
703,18028271,360,-84,-1974,840,-75,-34
704,18028281,318,-96,-1970,840,-88,-38
705,18028291,312,-92,-1974,847,-94,-38
706,18028301,323,-101,-1979,852,-96,-37
707,18028311,354,-114,-1982,853,-103,-32
708,18028321,319,-106,-1988,842,-122,-26
709,18028331,303,-104,-1981,832,-131,-33
710,18028341,329,-111,-1990,833,-127,-42
711,18028351,359,-130,-1999,835,-119,-41
712,18028361,239,-61,-1995,757,-159,-20
713,18028371,330,-128,-1973,878,-61,-32
714,18028381,331,-96,-1981,823,-86,-44
715,18028391,321,-127,-1970,841,-87,-38
716,18028401,298,-100,-1999,836,-104,-35
717,18028411,310,-74,-2014,824,-104,-46
718,18028421,312,-77,-2006,829,-59,-35
719,18028431,325,-112,-1964,864,-26,-28
720,18028441,334,-99,-1952,858,-47,-37
721,18028451,335,-104,-1969,850,-75,-40
722,18028461,326,-103,-1983,854,-86,-37
723,18028471,321,-110,-1984,851,-87,-39
724,18028481,344,-105,-1993,841,-92,-41
725,18028491,323,-120,-1971,837,-84,-32
726,18028501,298,-125,-1967,844,-72,-34
727,18028511,325,-111,-1962,841,-74,-256
728,18028508,325,-111,-1962,842,-75,-38
729,18028518,341,-118,-1973,839,-93,-39
730,18028528,319,-119,-1986,835,-105,-35
731,18028538,308,-122,-1994,830,-102,-36
732,18028548,331,-92,-1983,831,-101,-38
733,18028558,320,-109,-1989,834,-96,-38
734,18028568,287,-104,-2013,825,-80,-31
735,18028578,309,-95,-1977,835,-64,-33
736,18028588,329,-104,-1981,841,-57,-38
737,18028598,319,-94,-1976,836,-68,-38
738,18028608,307,-116,-1970,839,-68,-32
739,18028618,336,-123,-1972,836,-75,-36
740,18028628,322,-113,-1976,825,-85,-41
741,18028638,289,-100,-2004,813,-83,-36
742,18028648,309,-121,-1976,814,-64,-30
743,18028658,345,-117,-1966,823,-56,-41
744,18028668,305,-105,-1981,812,-70,-46
745,18028678,309,-113,-1988,812,-78,-40
746,18028688,323,-104,-1977,819,-72,-38
747,18028698,321,-102,-1982,817,-72,-41
748,18028708,304,-115,-1960,822,-76,-40
749,18028718,315,-114,-1983,822,-83,-39
750,18028728,335,-125,-1975,819,-79,-39
751,18028738,319,-112,-1987,803,-80,-40
752,18028748,306,-113,-1983,796,-82,-40
753,18028758,336,-110,-1978,806,-71,-256
754,18028755,337,-110,-1978,806,-72,-40
755,18028765,346,-103,-1968,803,-79,-49
756,18028775,307,-99,-1982,798,-96,-48
757,18028785,303,-107,-1979,801,-97,-40
758,18028795,330,-116,-1955,801,-93,-40
759,18028805,297,-109,-1970,794,-101,-53
760,18028815,290,-114,-1992,797,-109,-63
761,18028825,308,-96,-2005,796,-108,-52
762,18028835,298,-95,-1988,799,-98,-47
763,18028845,286,-96,-1988,814,-86,-62
764,18028855,302,-78,-1983,834,-87,-63
765,18028865,332,-109,-1985,865,-62,-48
766,18028875,329,-111,-1994,854,-47,-45
767,18028885,305,-118,-1965,836,-68,-35
768,18028895,345,-124,-1949,834,-60,-47
769,18028905,345,-133,-1946,834,-78,-36
770,18028915,306,-139,-1964,816,-113,-35
771,18028925,311,-109,-1976,792,-131,-36
772,18028935,314,-98,-1993,802,-118,-40
773,18028945,299,-103,-1992,819,-102,-48
774,18028955,290,-103,-1991,808,-111,-54
775,18028965,319,-109,-1983,815,-93,-53
776,18028975,306,-119,-1976,803,-84,-52
777,18028985,294,-135,-1958,792,-72,-52
778,18028995,334,-164,-1906,761,-57,-65
779,18029005,325,-184,-1938,714,-77,-256
780,18029001,326,-184,-1938,715,-78,-77
781,18029011,285,-201,-1911,651,-64,-105
782,18029021,331,-177,-1906,569,37,-147
783,18029031,371,-135,-1925,491,50,-209
784,18029041,371,-80,-1947,500,-20,-205
785,18029051,310,-26,-2003,506,-114,-179
786,18029061,363,19,-2006,546,-109,-146
787,18029071,335,-46,-1981,654,-114,-41
788,18029081,295,-48,-1958,728,-171,3
789,18029091,305,-26,-2056,678,-187,-79
790,18029101,273,-28,-2046,764,-113,-67
791,18029111,239,-45,-2026,754,-63,-36
792,18029121,283,-55,-1926,804,112,-75
793,18029131,343,-104,-1873,881,209,-37
794,18029141,353,-116,-1858,859,124,-29
795,18029151,347,-91,-1916,766,41,-79
796,18029161,284,32,-2036,617,-34,-73
797,18029171,291,58,-2104,619,-42,-65
798,18029181,321,17,-2078,793,103,14
799,18029191,382,-30,-1990,872,174,36
800,18029201,364,-195,-2046,1113,226,-3
801,18029211,261,-36,-1998,952,45,14
802,18029221,324,-34,-1929,940,125,-120
803,18029231,411,23,-1960,814,167,-136
804,18029241,379,-7,-1980,716,21,-59
805,18029251,327,-61,-1996,714,-81,0
806,18029248,327,-62,-1996,715,-82,33
807,18029258,296,-62,-2032,710,-60,-6
808,18029268,315,-17,-2039,694,-34,-74
809,18029278,359,-20,-2011,739,46,-97
810,18029288,366,-40,-2003,763,68,-84
811,18029298,370,-56,-1966,775,52,-58
812,18029308,430,-17,-1945,755,3,-35
813,18029318,379,-58,-1954,780,-70,13
814,18029328,382,-33,-1957,784,-114,21
815,18029338,384,-19,-1981,705,-148,38
816,18029348,383,-37,-1982,689,-148,79
817,18029358,368,-54,-1976,648,-139,80
818,18029368,338,-24,-1980,626,-133,57
819,18029378,350,-61,-1994,642,-141,43
820,18029388,309,-40,-1989,658,-128,24
821,18029398,365,-49,-1965,660,-81,-25
822,18029408,473,-27,-1960,670,-99,-35
823,18029418,465,41,-1892,606,-224,63
824,18029428,451,53,-1952,464,-404,144
825,18029438,468,7,-1934,543,-423,176
826,18029448,86,621,-1570,442,-721,320
827,18029458,781,-200,-2073,920,-576,163
828,18029468,-239,184,-2279,-151,-1362,523
829,18029478,151,56,-2114,449,-566,286
830,18029488,299,-25,-2028,612,-110,95
831,18029498,218,10,-1977,681,-114,0
832,18029495,218,10,-1977,682,-114,47
833,18029505,175,117,-2076,680,-143,0
834,18029515,222,154,-2087,764,33,-32
835,18029525,217,133,-2068,927,184,20
836,18029535,256,52,-1984,1038,331,20
