sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664,18417035,-218,-415,-1958,689,-102,-42
1665,18417045,-197,-427,-1956,693,-105,-45
1666,18417055,-226,-437,-1965,699,-108,-42
1667,18417065,-227,-431,-1942,705,-110,-35
1668,18417075,-211,-426,-1954,708,-109,-40
1669,18417085,-205,-446,-1934,699,-103,-39
1670,18417095,-229,-435,-1947,705,-103,-45
1671,18417105,-221,-430,-1956,696,-96,-38
1672,18417115,-216,-432,-1941,685,-91,-36
1673,18417125,-232,-439,-1946,707,-91,-45
1674,18417135,-227,-424,-1958,679,-89,-30
1675,18417145,-204,-409,-1946,693,-88,-48
1676,18417155,-223,-428,-1960,697,-92,-38
1677,18417165,-238,-417,-1963,676,-94,-36
1678,18417175,-227,-422,-1944,707,-101,-46
1679,18417185,-212,-412,-1952,703,-102,-28
1680,18417195,-225,-422,-1948,705,-101,-36
1681,18417205,-233,-441,-1959,722,-105,-34
1682,18417215,-218,-422,-1955,696,-105,-23
1683,18417225,-215,-439,-1943,708,-104,-38
1684,18417235,-235,-425,-1950,703,-102,-30
1685,18417245,-226,-415,-1945,690,-100,-31
1686,18417255,-215,-427,-1947,699,-98,-38
1687,18417265,-241,-419,-1950,689,-97,-35
1688,18417275,-237,-427,-1948,690,-93,-43
1689,18417285,-215,-432,-1946,695,-93,-256
1690,18417282,-215,-433,-1946,696,-94,-41
1691,18417292,-218,-417,-1955,692,-95,-28
1692,18417302,-223,-441,-1963,696,-98,-35
1693,18417312,-223,-417,-1949,695,-101,-30
1694,18417322,-192,-430,-1959,686,-104,-27
1695,18417332,-225,-422,-1950,683,-110,-28
1696,18417342,-235,-421,-1957,682,-119,-18
1697,18417352,-217,-413,-1956,683,-126,-17
1698,18417362,-228,-457,-1952,690,-134,-1
1699,18417372,-237,-435,-1971,658,-147,4
1700,18417382,-208,-440,-1993,641,-164,4
1701,18417392,-192,-471,-1987,622,-191,24
1702,18417402,-240,-480,-2081,542,-280,58
1703,18417412,-182,-408,-2092,457,-332,14
1704,18417422,-183,-430,-2057,559,-378,43
1705,18417432,-228,-387,-2103,504,-457,55
1706,18417442,-301,-374,-2194,511,-547,32
1707,18417452,-390,-208,-2286,563,-564,43
1708,18417462,-391,45,-2668,763,-383,-63
1709,18417472,-286,-211,-2366,1497,433,98
1710,18417482,-116,-472,-2043,2279,581,294
1711,18417492,24,-461,-2053,2047,453,79
1712,18417502,-119,-366,-2190,1581,157,138
1713,18417512,-179,-549,-2252,1472,31,319
1714,18417522,-230,-434,-2180,1359,136,505
1715,18417532,-117,-446,-2128,1244,356,256
1716,18417529,-117,-447,-2128,1244,356,502
1717,18417539,-48,-531,-1945,1390,603,507
1718,18417549,-54,-642,-1886,1355,673,639
1719,18417559,-391,-462,-1839,1172,663,674
1720,18417569,194,-806,-1760,1247,979,114
1721,18417579,-8,-389,-2111,-59,860,28
1722,18417589,45,-638,-1812,1146,904,300
1723,18417599,78,-892,-1612,2164,909,303
1724,18417609,175,-883,-1728,1883,913,-43
1725,18417619,63,-597,-1820,1300,741,-71
1726,18417629,284,-353,-1709,1133,728,-330
1727,18417639,373,-288,-1500,1470,884,-419
1728,18417649,365,-375,-1365,1753,968,-307
1729,18417659,294,-472,-1301,1807,991,-64
1730,18417669,229,-580,-1372,1739,1030,192
1731,18417679,131,-529,-1562,1552,962,307
1732,18417689,51,-577,-1627,1645,948,379
1733,18417699,-6,-702,-1610,1996,956,375
1734,18417709,79,-752,-1635,2115,1001,150
1735,18417719,40,-731,-1678,2014,814,-23
1736,18417729,105,-669,-1680,1856,641,-127
1737,18417739,61,-717,-1612,1812,543,-168
1738,18417749,16,-770,-1567,1743,413,-61
1739,18417759,27,-783,-1558,1514,339,9
1740,18417769,17,-814,-1564,1306,216,82
1741,18417779,-9,-849,-1643,1051,77,0
1742,18417775,-9,-850,-1643,1052,77,208
1743,18417785,-47,-958,-1786,810,-27,298
1744,18417795,-78,-1017,-1932,644,-100,380
1745,18417805,-64,-1044,-2006,656,-181,347
1746,18417815,-143,-1117,-2030,795,-246,275
1747,18417825,-241,-1179,-2021,1006,-273,200
1748,18417835,-220,-1166,-2019,1014,-200,24
1749,18417845,-251,-1226,-2079,844,-172,-80
1750,18417855,-307,-1283,-2238,700,-194,20
1751,18417865,-362,-1333,-2296,553,-265,128
1752,18417875,-249,-1193,-2121,512,-143,-11
1753,18417885,-301,-697,-1792,605,65,-223
1754,18417895,248,-1127,-1568,1488,279,-647
1755,18417905,131,-920,-1807,734,-81,-355
1756,18417915,108,-879,-1885,759,-79,-363
1757,18417925,71,-941,-1836,780,110,-238
1758,18417935,144,-946,-1733,835,319,-249
1759,18417945,237,-952,-1650,805,356,-281
1760,18417955,234,-997,-1586,843,271,-241
1761,18417965,239,-1010,-1561,856,160,-225
1762,18417975,260,-1003,-1605,805,33,-232
1763,18417985,223,-984,-1615,799,-98,-200
1764,18417995,193,-962,-1616,793,-201,-220
1765,18418005,195,-937,-1621,761,-314,-218
1766,18418015,200,-921,-1642,733,-420,-177
1767,18418025,146,-913,-1731,706,-499,-256
1768,18418022,147,-913,-1731,707,-499,-155
1769,18418032,127,-934,-1846,718,-447,-157
1770,18418042,155,-972,-1837,814,-288,-194
1771,18418052,152,-969,-1788,809,-160,-204
