sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2574,18967399,-543,-1235,-1554,931,-198,-230
2575,18967409,-509,-1192,-1545,912,-178,-234
2576,18967419,-461,-1155,-1537,936,-145,-249
2577,18967429,-495,-1196,-1521,1013,-147,-224
2578,18967439,-500,-1192,-1528,1040,-157,-188
2579,18967449,-475,-1208,-1528,1071,-171,-174
2580,18967459,-483,-1216,-1530,1087,-174,-170
2581,18967469,-516,-1207,-1535,1087,-168,-171
2582,18967479,-487,-1200,-1537,1103,-170,-170
2583,18967489,-461,-1197,-1535,1114,-194,-143
2584,18967499,-482,-1204,-1531,1105,-219,-120
2585,18967509,-492,-1215,-1506,1111,-242,-112
2586,18967519,-454,-1227,-1513,1117,-245,-90
2587,18967529,-461,-1223,-1511,1101,-252,-63
2588,18967539,-491,-1220,-1507,1084,-269,-77
2589,18967549,-482,-1231,-1512,1067,-275,-83
2590,18967559,-471,-1230,-1517,1065,-272,-72
2591,18967569,-471,-1227,-1524,1052,-269,-82
2592,18967579,-511,-1235,-1533,1027,-272,-91
2593,18967589,-459,-1230,-1536,1028,-268,-96
2594,18967599,-466,-1219,-1555,1038,-257,-98
2595,18967609,-497,-1229,-1548,1072,-249,-88
2596,18967619,-487,-1204,-1548,1085,-242,-105
2597,18967629,-451,-1211,-1553,1104,-235,-117
2598,18967639,-472,-1206,-1544,1127,-235,-88
2599,18967649,-501,-1233,-1536,1112,-247,-256
2600,18967646,-501,-1234,-1536,1113,-248,-72
2601,18967656,-472,-1224,-1537,1094,-261,-63
2602,18967666,-451,-1236,-1542,1081,-259,-80
2603,18967676,-479,-1226,-1521,1070,-257,-83
2604,18967686,-483,-1237,-1528,1062,-262,-83
2605,18967696,-452,-1228,-1542,1045,-277,-99
2606,18967706,-472,-1221,-1554,1038,-287,-105
2607,18967716,-488,-1217,-1553,1037,-276,-100
2608,18967726,-448,-1221,-1540,1059,-265,-94
2609,18967736,-449,-1214,-1540,1058,-267,-99
2610,18967746,-473,-1209,-1525,1064,-276,-93
2611,18967756,-471,-1221,-1528,1084,-286,-67
2612,18967766,-459,-1216,-1530,1086,-288,-55
2613,18967776,-469,-1221,-1527,1097,-272,-59
2614,18967786,-482,-1245,-1511,1099,-268,-69
2615,18967796,-473,-1252,-1493,1098,-267,-69
2616,18967806,-481,-1215,-1499,1051,-280,-66
2617,18967816,-489,-1243,-1508,1066,-294,-52
2618,18967826,-485,-1230,-1511,1061,-302,-24
2619,18967836,-445,-1242,-1498,1077,-301,-16
2620,18967846,-495,-1209,-1504,1082,-309,-13
2621,18967856,-474,-1221,-1486,1099,-323,-3
2622,18967866,-455,-1232,-1490,1138,-344,50
