sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2262,18326011,801,-696,-791,627,6904,1460
2263,18326021,954,-669,-669,926,6086,1335
2264,18326031,967,-649,-672,1228,5241,1249
2265,18326041,939,-699,-664,1545,4826,1313
2266,18326051,1085,-995,-482,1858,4833,1383
2267,18326061,1100,-1153,-423,1892,4650,1402
2268,18326071,1122,-1207,-421,1703,4242,1275
2269,18326081,1088,-1205,-390,1543,3950,1096
2270,18326091,1203,-1227,-301,1430,3792,948
2271,18326101,1259,-1305,-147,1437,3578,819
2272,18326111,1191,-1270,-170,1264,3085,683
2273,18326121,1132,-1146,-223,950,2812,496
2274,18326131,1152,-1081,-191,832,2838,357
2275,18326141,1198,-1050,-85,919,2888,239
2276,18326151,1302,-1080,50,1032,2895,128
2277,18326161,1370,-1096,159,983,2797,46
2278,18326171,1417,-1060,213,801,2505,-24
2279,18326181,1445,-1000,245,673,2204,-77
2280,18326191,1431,-943,222,614,1869,-115
2281,18326201,1390,-842,179,587,1619,-126
2282,18326211,1452,-846,227,682,1536,-113
2283,18326221,1485,-865,285,775,1420,-82
2284,18326231,1443,-876,280,717,1239,-76
2285,18326241,1478,-844,295,650,1162,-113
2286,18326251,1549,-833,341,612,1068,-187
2287,18326261,1516,-778,355,613,870,-256
2288,18326258,1517,-779,356,614,870,-237
2289,18326268,1598,-741,394,618,770,-311
2290,18326278,1666,-698,401,583,602,-361
2291,18326288,1725,-649,422,496,387,-369
2292,18326298,1709,-613,418,479,192,-366
2293,18326308,1771,-582,455,489,72,-366
2294,18326318,1854,-587,466,482,-77,-343
2295,18326328,1791,-527,421,447,-302,-303
2296,18326338,1780,-437,360,397,-424,-287
2297,18326348,1894,-469,419,618,-356,-229
2298,18326358,1917,-552,491,859,-451,-121
2299,18326368,1876,-535,502,946,-607,-97
2300,18326378,1918,-617,475,992,-771,-97
2301,18326388,1946,-645,419,917,-1010,-67
2302,18326398,1938,-639,358,736,-1270,-51
2303,18326408,1903,-659,287,582,-1514,-66
2304,18326418,1930,-623,207,424,-1710,-112
2305,18326428,1913,-560,48,310,-1905,-175
2306,18326438,1849,-491,-101,317,-1992,-194
2307,18326448,1854,-455,-179,472,-1904,-161
2308,18326458,1907,-464,-159,754,-1765,-71
2309,18326468,1869,-530,-150,1045,-1751,25
2310,18326478,1783,-550,-243,1158,-1753,101
2311,18326488,1789,-594,-262,1142,-1605,137
2312,18326498,1808,-642,-246,1159,-1526,152
2313,18326508,1803,-670,-223,1102,-1558,0
2314,18326505,1804,-671,-223,1103,-1558,130
2315,18326515,1803,-683,-196,1010,-1681,115
2316,18326525,1803,-654,-151,898,-1876,95
2317,18326535,1820,-689,-25,865,-2124,55
2318,18326545,1827,-762,55,815,-2490,34
2319,18326555,1816,-769,55,608,-2984,-4
2320,18326565,1804,-731,35,362,-3481,-78
2321,18326575,1648,-683,-102,168,-3919,-164
2322,18326585,1529,-496,-295,39,-4074,-204
2323,18326595,1607,-470,-314,269,-3836,-126
2324,18326605,1637,-535,-235,671,-3650,46
2325,18326615,1644,-611,-155,917,-3660,178
2326,18326625,1692,-567,-88,963,-3849,157
2327,18326635,1631,-394,-186,880,-4182,62
2328,18326645,1506,-219,-440,820,-4384,12
2329,18326655,1372,-147,-652,904,-4197,134
2330,18326665,1274,-90,-818,1047,-3761,256
2331,18326675,1225,-77,-1015,1036,-3247,303
2332,18326685,1104,-110,-1157,782,-2762,466
2333,18326695,1075,-226,-1127,617,-2253,711
2334,18326705,1079,-376,-1099,502,-1836,875
2335,18326715,1080,-549,-1143,556,-1673,932
2336,18326725,1021,-786,-1243,647,-1828,871
2337,18326735,1014,-848,-1320,574,-2137,701
2338,18326745,1000,-758,-1469,353,-2526,290
2339,18326755,942,-521,-1834,60,-2997,-256
