sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
9360,19031781,253,-1320,-1492,1045,-215,-78
9361,19031791,289,-1313,-1486,1041,-219,-81
9362,19031801,258,-1335,-1512,1030,-226,-78
9363,19031811,234,-1327,-1505,1030,-232,-73
9364,19031821,272,-1306,-1501,1036,-221,-77
9365,19031831,276,-1318,-1508,1040,-224,-78
9366,19031841,239,-1309,-1502,1035,-228,-70
9367,19031851,265,-1336,-1511,1051,-220,-76
9368,19031861,289,-1312,-1505,1037,-222,-72
9369,19031871,261,-1331,-1507,1060,-211,-77
9370,19031881,250,-1319,-1499,1045,-217,-78
9371,19031891,276,-1328,-1501,1057,-215,-73
9372,19031901,274,-1316,-1489,1042,-213,-73
9373,19031911,239,-1319,-1493,1046,-219,-68
9374,19031921,254,-1329,-1507,1032,-224,-74
9375,19031931,294,-1323,-1514,1035,-228,-71
9376,19031941,264,-1326,-1515,1037,-226,-71
9377,19031951,246,-1324,-1506,1049,-215,-75
9378,19031961,272,-1324,-1510,1051,-218,-71
9379,19031971,274,-1313,-1492,1060,-201,-77
9380,19031981,238,-1322,-1503,1060,-201,-79
9381,19031991,254,-1310,-1516,1049,-215,-77
9382,19032001,279,-1321,-1489,1052,-213,-75
9383,19032011,264,-1318,-1500,1050,-212,-78
9384,19032021,267,-1329,-1498,1041,-221,-71
9385,19032031,258,-1323,-1498,1034,-227,-256
9386,19032028,258,-1324,-1498,1034,-228,-69
9387,19032038,265,-1320,-1525,1035,-229,-73
9388,19032048,239,-1324,-1499,1041,-221,-72
9389,19032058,267,-1310,-1503,1043,-221,-73
9390,19032068,277,-1330,-1503,1046,-218,-76
9391,19032078,265,-1322,-1501,1053,-213,-80
9392,19032088,251,-1311,-1496,1048,-218,-76
9393,19032098,280,-1317,-1495,1043,-224,-72
9394,19032108,283,-1318,-1501,1039,-225,-74
9395,19032118,241,-1317,-1493,1035,-226,-73
9396,19032128,254,-1316,-1501,1034,-225,-75
9397,19032138,281,-1331,-1503,1034,-228,-79
9398,19032148,263,-1316,-1506,1033,-230,-75
9399,19032158,246,-1314,-1492,1037,-225,-77
9400,19032168,274,-1318,-1511,1042,-222,-72
9401,19032178,276,-1324,-1499,1044,-220,-73
9402,19032188,246,-1319,-1498,1045,-218,-76
9403,19032198,254,-1332,-1494,1043,-217,-74
9404,19032208,262,-1317,-1500,1039,-222,-76
9405,19032218,262,-1325,-1517,1036,-224,-75
9406,19032228,245,-1326,-1511,1035,-224,-74
9407,19032238,277,-1316,-1497,1037,-225,-75
9408,19032248,273,-1316,-1504,1039,-223,-72
9409,19032258,235,-1322,-1498,1047,-217,-73
9410,19032268,263,-1318,-1496,1048,-217,-78
9411,19032278,264,-1316,-1507,1048,-217,-256
9412,19032274,265,-1316,-1507,1049,-218,-79
9413,19032284,260,-1313,-1499,1048,-218,-77
9414,19032294,244,-1316,-1513,1054,-216,-76
9415,19032304,272,-1320,-1494,1054,-216,-73
9416,19032314,283,-1327,-1492,1051,-214,-74
9417,19032324,239,-1342,-1497,1044,-220,-71
9418,19032334,266,-1317,-1507,1042,-218,-73
9419,19032344,296,-1325,-1508,1043,-215,-76
9420,19032354,247,-1316,-1506,1041,-217,-76
9421,19032364,244,-1323,-1503,1041,-217,-74
9422,19032374,274,-1306,-1489,1043,-218,-72
9423,19032384,265,-1310,-1507,1050,-216,-73
9424,19032394,248,-1330,-1495,1054,-212,-75
9425,19032404,257,-1333,-1490,1049,-218,-72
9426,19032414,288,-1318,-1500,1046,-218,-74
9427,19032424,261,-1317,-1507,1046,-218,-76
9428,19032434,248,-1321,-1508,1044,-220,-77
9429,19032444,266,-1315,-1512,1047,-215,-76
9430,19032454,256,-1308,-1505,1050,-211,-79
9431,19032464,239,-1313,-1490,1045,-215,-73
9432,19032474,257,-1304,-1503,1047,-219,-76
9433,19032484,288,-1320,-1494,1051,-211,-79
9434,19032494,265,-1330,-1481,1048,-210,-78
9435,19032504,251,-1321,-1499,1029,-235,-72
9436,19032514,263,-1332,-1513,1030,-232,-68
9437,19032524,264,-1307,-1502,1031,-224,-256
9438,19032521,265,-1308,-1502,1032,-224,-75
9439,19032531,246,-1322,-1505,1040,-226,-77
9440,19032541,268,-1322,-1530,1036,-227,-78
9441,19032551,279,-1316,-1526,1041,-226,-72
9442,19032561,256,-1325,-1508,1048,-214,-83
9443,19032571,242,-1326,-1494,1048,-215,-77
9444,19032581,260,-1307,-1504,1042,-220,-77
9445,19032591,275,-1325,-1502,1048,-217,-80
9446,19032601,245,-1313,-1507,1050,-221,-79
9447,19032611,258,-1312,-1504,1065,-198,-85
9448,19032621,281,-1320,-1497,1061,-218,-75
9449,19032631,271,-1323,-1509,1051,-210,-84
9450,19032641,240,-1334,-1496,1055,-214,-66
9451,19032651,288,-1303,-1509,1054,-206,-87
