sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
18096,19114663,-1881,-468,-186,747,-195,192
18097,19114673,-1853,-452,-178,748,-237,194
18098,19114683,-1874,-430,-186,740,-278,188
18099,19114693,-1900,-426,-147,742,-314,190
18100,19114703,-1855,-400,-125,713,-339,178
18101,19114713,-1874,-373,-122,661,-385,177
18102,19114723,-1970,-325,-149,598,-441,189
18103,19114733,-2031,-259,-184,543,-493,207
18104,19114743,-2159,-205,-217,512,-523,232
18105,19114753,-2266,-189,-251,479,-517,244
18106,19114763,-2326,-182,-282,425,-517,242
18107,19114773,-2315,-203,-308,377,-528,259
18108,19114783,-2293,-245,-329,314,-532,258
18109,19114793,-2254,-278,-351,296,-533,231
18110,19114803,-2165,-265,-366,335,-532,189
18111,19114813,-2074,-261,-337,412,-519,139
18112,19114823,-2029,-258,-284,503,-518,93
18113,19114833,-1976,-232,-240,560,-535,60
18114,19114843,-1936,-195,-226,580,-567,36
18115,19114853,-1936,-134,-220,582,-598,18
18116,19114863,-1954,-91,-224,566,-613,14
18117,19114873,-1957,-49,-229,549,-604,12
18118,19114883,-1968,-2,-246,511,-599,12
18119,19114893,-2002,42,-251,473,-581,35
18120,19114903,-2047,61,-253,420,-561,60
18121,19114913,-2043,105,-279,373,-520,0
18122,19114910,-2043,105,-279,373,-521,95
18123,19114920,-2096,126,-282,331,-489,120
18124,19114930,-2150,146,-315,298,-450,162
18125,19114940,-2147,153,-322,260,-418,196
18126,19114950,-2152,150,-286,258,-362,229
18127,19114960,-2152,141,-288,262,-323,241
18128,19114970,-2135,140,-277,274,-323,272
18129,19114980,-2093,130,-258,276,-282,298
18130,19114990,-2060,110,-210,323,-234,307
18131,19115000,-2016,97,-195,341,-203,306
18132,19115010,-1986,82,-147,335,-208,319
18133,19115020,-1939,62,-133,341,-175,314
18134,19115030,-1921,46,-96,351,-163,296
18135,19115040,-1919,32,-108,332,-177,297
18136,19115050,-1905,63,-119,314,-204,284
18137,19115060,-1950,51,-137,324,-196,281
18138,19115070,-1995,73,-140,341,-185,256
18139,19115080,-2021,113,-146,344,-164,234
18140,19115090,-2038,150,-123,346,-138,209
18141,19115100,-2058,159,-124,380,-103,204
18142,19115110,-2085,192,-111,373,-116,182
18143,19115120,-2068,211,-94,422,-99,171
18144,19115130,-2074,214,-55,472,-86,166
18145,19115140,-2059,229,-58,521,-71,143
18146,19115150,-2007,258,-30,573,-114,119
18147,19115160,-1995,256,-7,664,-135,0
18148,19115157,-1995,256,-7,665,-136,133
18149,19115167,-2011,242,25,753,-150,131
18150,19115177,-2015,251,66,829,-174,123
18151,19115187,-1998,231,97,860,-216,126
18152,19115197,-2022,214,83,848,-238,128
18153,19115207,-2089,198,101,814,-261,115
18154,19115217,-2086,217,72,768,-271,107
18155,19115227,-2071,211,69,718,-286,81
18156,19115237,-2099,224,32,707,-295,61
18157,19115247,-2088,232,32,738,-306,40
18158,19115257,-2071,220,45,798,-322,25
18159,19115267,-2092,222,81,849,-348,9
18160,19115277,-2130,201,94,883,-368,-4
18161,19115287,-2124,202,86,896,-391,-20
18162,19115297,-2120,201,91,896,-416,-41
18163,19115307,-2133,216,90,889,-439,-62
18164,19115317,-2143,220,80,889,-464,-73
18165,19115327,-2090,243,23,904,-486,-81
18166,19115337,-2087,257,16,925,-508,-101
18167,19115347,-2110,249,15,956,-511,-101
18168,19115357,-2088,233,9,958,-503,-91
18169,19115367,-2070,235,7,942,-504,-87
18170,19115377,-2107,218,-8,910,-502,-88
18171,19115387,-2121,215,-22,880,-485,-90
18172,19115397,-2083,216,-39,861,-462,-99
18173,19115407,-2096,219,-34,853,-448,-256
18174,19115404,-2096,219,-33,854,-449,-106
18175,19115414,-2131,200,-43,862,-444,-106
18176,19115424,-2125,202,-60,885,-447,-117
18177,19115434,-2117,181,-54,920,-444,-123
18178,19115444,-2159,191,-23,953,-436,-138
18179,19115454,-2132,161,-9,986,-435,-154
