timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
12018566,-759,-482,-1805,856,-336,-80
12018576,-778,-476,-1809,856,-338,-68
12018586,-755,-484,-1822,878,-337,-55
12018596,-754,-473,-1811,880,-337,-60
12018606,-781,-513,-1836,886,-336,-61
12018616,-787,-528,-1842,901,-333,-65
12018626,-796,-527,-1873,907,-320,-84
12018636,-799,-585,-1903,916,-272,-141
12018646,-819,-626,-1954,938,-220,-222
12018656,-772,-747,-1997,974,-185,-317
12018666,-737,-829,-2060,996,-166,-405
12018676,-719,-886,-2175,996,-154,-500
12018686,-682,-934,-2276,1023,-121,-569
12018696,-789,-745,-2292,995,-31,-664
12018706,-1091,-465,-2467,1137,75,-723
12018716,-1505,-345,-2600,1642,543,-169
12018726,-1584,-636,-2469,2522,1290,129
12018736,-2127,-310,-2673,2645,1836,-762
12018746,-2187,132,-2829,2935,2305,-1407
12018756,-2230,229,-2772,3235,2777,-1537
12018753,-2230,229,-2772,3236,2776,-1535
12018763,-2167,450,-2689,3401,3094,-1144
12018773,-2187,469,-2666,2943,3097,-249
12018783,-2350,612,-2872,2316,2911,618
12018793,-2176,744,-2737,1628,3203,1680
12018803,-2150,453,-2730,1483,3603,2870
12018813,-2148,171,-2452,1259,3993,4163
12018823,-1950,268,-2351,818,4389,4775
12018833,-1828,510,-2122,851,4834,5223
12018843,-1587,317,-1705,1245,5233,5789
12018853,-1347,-99,-1395,1892,5535,6285
12018863,-1124,-632,-1115,2192,5592,6777
12018873,-763,-1292,-618,2102,5468,7183
12018883,-330,-1891,-432,1806,4725,7087
12018893,-316,-2388,-183,950,3433,7104
12018903,-49,-2826,-26,-270,3021,7202
12018913,401,-3326,370,-1263,2517,6966
12018923,1120,-3799,732,-2148,2119,6958
12018933,1533,-4512,781,-2790,1316,7171
12018943,1362,-5446,152,-3268,254,6955
12018953,1101,-5858,-307,-3521,-520,5670
12018963,565,-5837,-427,-3169,-1133,3577
12018973,-54,-5485,-570,-2347,-2146,961
12018983,-601,-5040,-832,-1056,-3002,-1764
12018993,-691,-5013,-760,622,-3070,-3940
12019003,-443,-5131,-417,1965,-2663,-5635
12018999,-442,-5132,-417,1965,-2664,-5531
12019009,-467,-5359,-150,2574,-2781,-6780
12019019,-996,-5299,-85,2408,-3450,-7832
12019029,-1560,-4896,-166,1890,-4091,-8784
12019039,-2100,-3910,-470,1575,-4479,-9560
12019049,-2379,-3130,-506,1737,-4299,-9763
12019059,-2394,-2693,-392,2512,-3862,-9681
12019069,-2391,-2769,-214,3141,-3827,-9648
12019079,-2577,-2375,-350,3020,-4056,-9737
12019089,-2754,-1799,-630,2527,-4315,-9723
12019099,-2979,-1282,-867,2524,-4500,-9386
12019109,-3152,-1080,-1086,2837,-4385,-8946
12019119,-3125,-1101,-1407,2799,-3847,-8074
12019129,-3707,-877,-1988,2003,-3703,-6675
12019139,-4012,-449,-2716,890,-3631,-5650
12019149,-4153,258,-3344,-56,-3241,-4885
12019159,-4037,791,-3663,-597,-2497,-4045
12019169,-3615,1317,-3879,-727,-1317,-3021
12019179,-3214,1234,-3538,-474,-682,-1942
12019189,-3167,1244,-3908,49,-95,-1087
12019199,-2956,1925,-4153,-1370,486,-547
12019209,-2629,2182,-4132,-1062,833,-307
12019219,-2488,2387,-4314,-212,1065,-40
12019229,-2412,2488,-4444,564,1301,468
12019239,-2403,2393,-4327,535,1906,1285
12019249,-2313,2353,-4087,778,2649,1793
12019246,-2313,2353,-4087,779,2649,2006
12019256,-2319,2193,-3870,1057,3488,2830
12019266,-2254,1684,-3405,1362,4469,3769
12019276,-2085,1441,-3021,1057,5074,4387
12019286,-2113,1133,-2832,467,5199,5048
12019296,-2162,851,-2557,-212,5268,5749
12019306,-2216,544,-2290,-1033,5317,6454
12019316,-2180,501,-2124,-2006,5254,7231
12019326,-2541,324,-2155,-2632,4957,8088
12019336,-2810,21,-2045,-2783,4750,9016
12019346,-2910,-293,-1829,-2855,4746,9639
12019356,-3075,-828,-1620,-2807,4501,10153
12019366,-3310,-1312,-1401,-2917,4203,10582
12019376,-3436,-1775,-1359,-3049,3999,10929
12019386,-3395,-2394,-1252,-3040,3914,11150
12019396,-3141,-2989,-1174,-3083,3873,10982
12019406,-2837,-3168,-1202,-3392,3743,10498
12019416,-2657,-3217,-1221,-3478,3352,9712
12019426,-2404,-3508,-1248,-2916,3124,8882
12019436,-2223,-3974,-1285,-2310,2701,7981
12019446,-1924,-4455,-1246,-1838,2266,6890
12019456,-1518,-4660,-1050,-1610,1940,5621
12019466,-1077,-4349,-1060,-1819,1577,4335
12019476,-980,-3697,-1057,-1921,793,2974
12019486,-878,-3173,-1071,-1663,-113,1634
12019496,-849,-2961,-1114,-1129,-802,512
12019493,-849,-2961,-1113,-1128,-802,638
12019503,-767,-3138,-1129,-500,-1308,-68
12019513,-688,-3464,-1038,-213,-1900,-658
12019523,-617,-3754,-818,-352,-2483,-1360
12019533,-596,-3844,-568,-893,-3139,-2281
12019543,-800,-3516,-463,-1818,-4218,-3350
12019553,-1185,-3051,-560,-2736,-5508,-4567
12019563,-1551,-2800,-651,-3132,-6688,-5773
12019573,-2006,-2828,-774,-3196,-7644,-6970
12019583,-2555,-2999,-936,-3083,-8348,-8178
12019593,-3046,-3096,-892,-2985,-8511,-9226
12019603,-3547,-2475,-1076,-3287,-8230,-9850
12019613,-4108,-2437,-1383,-3090,-7427,-10023
12019623,-4765,-2130,-1891,-3195,-6388,-9967
12019633,-5100,-1732,-2067,-3682,-5032,-10027
12019643,-5353,-308,-2508,-4898,-3841,-10053
12019653,-5366,1065,-2859,-5478,-2531,-10110
12019663,-5162,2261,-3059,-5533,-1010,-9483
12019673,-5002,3194,-3213,-4797,675,-8235
12019683,-4685,3699,-3130,-3260,2303,-6962
12019693,-4039,3670,-2898,-1496,3441,-5882
12019703,-3768,3841,-2862,-623,3709,-4935
12019713,-3449,3856,-2903,-57,3692,-3765
12019723,-3138,3599,-2800,94,3699,-2334
12019733,-2807,3440,-2658,-303,3754,-989
12019743,-2566,3084,-2525,-690,3823,256
12019739,-2565,3083,-2524,-690,3822,294
12019749,-2377,2797,-2484,-1087,3868,1450
12019759,-2130,2562,-2332,-1497,4087,2428
12019769,-1883,2436,-2254,-1818,4251,3205
12019779,-1718,2426,-2252,-1581,4516,3907
12019789,-1724,2224,-2252,-823,4953,4693
12019799,-1543,1715,-1957,-92,5754,5391
12019809,-1351,1232,-1657,213,6298,5847
12019819,-1115,576,-1257,271,6309,5914
12019829,-950,268,-1107,-22,5954,5809
12019839,-939,46,-1131,-566,5434,5934
12019849,-965,50,-1379,-1024,5126,6108
12019859,-864,-301,-1301,-1147,4979,6187
12019869,-637,-354,-1249,-1510,4684,5926
12019879,-573,-3,-1322,-1802,4155,5473
12019889,-557,54,-1283,-1586,3852,5177
12019899,-433,-25,-1177,-904,3725,4863
12019909,-507,-221,-1116,-94,3486,4532
12019919,-405,-440,-854,488,3474,4220
