sequence,timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,12015545,-82,-345,-1925,397,-267,218
1,12015555,-92,-270,-1981,381,-328,66
2,12015565,-139,-257,-2001,390,-326,27
3,12015575,-174,-232,-1989,399,-293,23
4,12015585,-138,-172,-1981,438,-254,-4
5,12015595,-93,-216,-1967,496,-227,9
6,12015605,-137,-198,-1950,487,-220,12
7,12015615,-140,-236,-1955,545,-265,-1
8,12015625,-100,-304,-1937,600,-299,31
9,12015635,-146,-261,-1976,529,-328,-33
10,12015645,-151,-281,-1983,470,-301,36
11,12015655,-190,-228,-2028,437,-323,97
12,12015665,-157,-237,-1999,410,-288,233
13,12015675,-155,-206,-1986,396,-259,288
14,12015685,-144,-211,-1968,433,-258,293
15,12015695,-155,-209,-1974,522,-352,182
16,12015705,-108,-252,-1948,549,-335,125
17,12015715,-166,-247,-1984,519,-351,33
18,12015725,-105,-222,-1978,489,-326,-11
19,12015735,-123,-207,-2019,472,-336,17
20,12015745,-188,-210,-2039,438,-293,138
21,12015755,-144,-228,-1997,399,-188,318
22,12015765,-141,-221,-2027,404,-165,397
23,12015775,-150,-339,-1941,409,-186,498
24,12015785,-102,-246,-1988,360,-270,488
25,12015795,-114,-271,-1936,338,-266,256
26,12015792,-114,-272,-1936,339,-267,362
27,12015802,-96,-218,-1970,300,-271,292
28,12015812,-99,-270,-1966,294,-286,264
29,12015822,-91,-262,-1984,266,-213,322
30,12015832,-93,-308,-1976,258,-185,360
31,12015842,-133,-249,-1943,585,-484,287
32,12015852,-206,-250,-1942,676,-457,209
33,12015862,-214,-241,-1946,609,-436,170
34,12015872,-129,-201,-1943,590,-421,95
35,12015882,-116,-176,-1950,636,-459,-18
36,12015892,-129,-177,-1929,746,-532,-85
37,12015902,-116,-170,-1893,791,-569,-123
38,12015912,-124,-237,-1913,826,-586,-208
39,12015922,-203,-166,-1941,759,-542,-256
40,12015932,-201,-158,-1940,613,-401,-227
41,12015942,-170,-162,-1944,421,-335,-195
42,12015952,-204,-155,-1923,322,-361,-233
43,12015962,-168,-354,-2100,316,-388,-325
44,12015972,-224,-68,-1882,310,-442,-494
45,12015982,-121,-209,-1904,412,-405,-707
46,12015992,-137,-569,-2142,447,-307,-1047
47,12016002,-212,56,-1718,469,-153,-1339
48,12016012,-50,-81,-1808,656,-90,-1432
49,12016022,-66,-103,-1845,628,-479,-1073
50,12016032,-135,-84,-1846,648,-600,-1044
51,12016042,-205,-71,-1926,836,-711,-1281
52,12016039,-205,-72,-1926,837,-712,-1094
